Gn,mean,std
ALB,22306.386,
HBA2,14178.655,
HBB,13538.518,
LALBA,12454.998,
TMSB4X,11622.015,
IGLJ1,7235.736,
IGLL5,7235.736,
IGLC1,7235.736,
CSN1S1,7160.29,
GAPDH,6999.011,
APOA2,5603.482,
SERPINA1,5587.79,
KRTAP3-1,5344.44,
CSN3,4953.42,
APOA1,4639.844,
CRYBB2,4615.716,
APOC1,4531.031,
RPL39,4478.886,
HBD,4318.507,
ACTB,4198.526,
VIM,4102.482,
RBP4,4079.88,
TAGLN,4004.537,
PPIA,4000.397,
ACTG1,3746.27,
KRT1,3745.121,
FABP1,3743.341,
ENO1,3562.054,
TTR,3512.367,
UMOD,3506.196,
ANXA2P2,3257.461,
ANXA2,3257.461,
PRDX1,3216.726,
ORM1,3209.656,
KRTAP9-6,3173.181,
CSN2,2989.446,
ADH1B,2980.856,
EEF1A1,2962.892,
EEF1A1P5,2962.892,
KRT10,2893.398,
TF,2811.646,
APOC4-APOC2,2716.309,
APOC2,2716.309,
PFN1,2710.427,
TPI1,2659.943,
CRYAA,2657.105,
CRYAA2,2657.105,
CRYBA1,2602.821,
MBP,2557.557,
SOD1,2556.423,
CFL1,2534.914,
KRT9,2513.711,
PKM,2476.875,
ALDOA,2453.629,
HSPD1,2388.23,
YWHAZ,2373.833,
PLP1,2354.792,
PEBP1,2340.177,
HNRNPA2B1,2336.025,
CRYBB1,2320.682,
HP,2267.995,
PPIB,2219.436,
HSPB1,2214.367,
CRYAB,2208.487,
HPX,2172.666,
HMGB1,2079.473,
CST1,2060.748,
CRYGC,2052.76,
CNFN,2049.647,
FLNA,2038.675,
HSPA8,2019.844,
CA6,2005.226,
TMSB10,2004.545,
APOD,1998.926,
CA1,1992.288,
S100A8,1986.98,
SPRR3,1964.986,
FGB,1963.799,
HSP90AB1,1951.318,
ACTC1,1922.573,
LDHB,1910.247,
PPBP,1862.619,
ACTA1,1859.111,
ACTG2,1851.262,
YWHAE,1844.267,
PTGDS,1834.526,
KRTAP19-3,1830.678,
ACTA2,1824.845,
PGK1,1821.129,
CNN1,1811.637,
PRDX2,1810.576,
HSPE1,1807.222,
TPM2,1789.231,
ANXA1,1789.032,
KRTAP9-3,1783.92,
GSTP1,1758.498,
APOC3,1754.567,
HSPA5,1751.824,
CALR,1748.938,
LGALS1,1707.038,
KRT18,1701.518,
ATP5F1B,1671.199,
CSRP1,1667.912,
TUBB,1666.975,
FGA,1656.092,
S100A9,1643.704,
PRDX6,1639.904,
S100A6,1619.549,
ANXA5,1595.713,
FGG,1588.224,
MB,1585.69,
TPM1,1577.2355,521.4834729504857
TUBB2B,1567.069,
MDH2,1563.801,
PARK7,1540.577,
MUCL1,1536.986,
AZGP1,1524.042,
ALDOB,1519.838,
GSN,1519.631,
TPM3,1498.8609999999999,410.6451921062757
TAGLN2,1479.385,
KRT13,1465.529,
HBG2,1465.088,
LDHA,1461.302,
ATP5F1A,1450.48,
KRT8,1437.29,
ADH1A,1428.479,
HSP90B1,1405.209,
EEF2,1404.354,
ARHGDIA,1398.337,
BPIFA2,1396.857,
S100A10,1395.025,
IGF1,1394.095,
CRYGS,1392.733,
ADH4,1380.144,
LUM,1369.355,
TXN,1355.137,
TKT,1354.099,
SERPINC1,1349.351,
CST4,1349.109,
TPM4,1345.272,
PDIA3,1326.984,
SERPINA3,1316.385,
AHSG,1316.251,
MDH1,1312.034,
PRH2,1311.887,
C3,1308.912,
HBG1,1304.893,
H3-3B,1301.657,
H3-3A,1301.657,
P4HB,1301.062,
TUBA1C,1300.332,
HINT1,1286.193,
CKB,1283.2575000000002,172.7511363913418
CALD1,1279.587,
DES,1269.093,
HSP90AA1,1264.72,
PRH1,1262.345,
RPLP2,1254.213,
KRTAP10-5,1251.882,
UCHL1,1250.847,
ORM2,1247.282,
LMNA,1215.747,
PF4,1209.411,
MYH9,1207.228,
DCN,1198.62,
RPL8,1188.363,
RPS27A,1179.835,160.01543615539092
UBA52,1179.835,160.01543615539092
TUBB4B,1177.505,
VCL,1168.879,
PGAM1,1163.287,
NPM1,1160.196,
RAN,1153.086,
KRT2,1145.797,
MIF,1145.669,
HNRNPK,1141.496,
KRTAP26-1,1136.543,
FTL,1133.945,
GFAP,1127.298,
A2M,1114.564,
GC,1113.113,
KRT19,1106.374,
MSN,1106.341,
MUC7,1092.916,
MYL2,1092.547,
S100A11,1090.331,
AMBP,1081.574,
CP,1079.49,
HSPE1-MOB4,1070.73,
ANXA6,1069.252,
PTMS,1066.573,
