,Gn,mean,std,percentile_rank
531,ALB,22306.386,0.0,100.0
6853,HBA2,14178.655,0.0,99.99473462510531
6854,HBB,13538.518,0.0,99.98946925021062
8428,LALBA,12454.998,0.0,99.98420387531593
16847,TMSB4X,11622.015,0.0,99.97893850042124
7434,IGLC1,7235.736,0.0,99.96840775063185
7435,IGLJ1,7235.736,0.0,99.96840775063185
7437,IGLL5,7235.736,0.0,99.96840775063185
3682,CSN1S1,7160.29,0.0,99.95787700084247
6037,GAPDH,6999.011,0.0,99.95261162594777
843,APOA2,5603.482,0.0,99.94734625105308
14412,SERPINA1,5587.79,0.0,99.94208087615839
8364,KRTAP3-1,5344.44,0.0,99.93681550126368
3684,CSN3,4953.42,0.0,99.93155012636899
842,APOA1,4639.844,0.0,99.9262847514743
3644,CRYBB2,4615.716,0.0,99.92101937657961
858,APOC1,4531.031,0.0,99.91575400168492
13871,RPL39,4478.886,0.0,99.91048862679023
6855,HBD,4318.507,0.0,99.90522325189553
202,ACTB,4198.526,0.0,99.89995787700084
17847,VIM,4102.482,0.0,99.89469250210615
13407,RBP4,4079.88,0.0,99.88942712721146
16029,TAGLN,4004.537,0.0,99.88416175231677
12487,PPIA,4000.397,0.0,99.87889637742208
205,ACTG1,3746.27,0.0,99.87363100252739
8264,KRT1,3745.121,0.0,99.86836562763268
5202,FABP1,3743.341,0.0,99.863100252738
4930,ENO1,3562.054,0.0,99.8578348778433
17370,TTR,3512.367,0.0,99.85256950294861
17620,UMOD,3506.196,0.0,99.84730412805392
770,ANXA2,3257.461,0.0,99.83940606571188
771,ANXA2P2,3257.461,0.0,99.83940606571188
12656,PRDX1,3216.726,0.0,99.83150800336983
11364,ORM1,3209.656,0.0,99.82624262847514
8395,KRTAP9-6,3173.181,0.0,99.82097725358045
3683,CSN2,2989.446,0.0,99.81571187868576
347,ADH1B,2980.856,0.0,99.81044650379107
4700,EEF1A1P5,2962.892,0.0,99.80254844144903
4699,EEF1A1,2962.892,0.0,99.80254844144903
8265,KRT10,2893.398,0.0,99.794650379107
16334,TF,2811.646,0.0,99.7893850042123
859,APOC2,2716.309,0.0,99.78148694187026
862,APOC4-APOC2,2716.309,0.0,99.78148694187026
11893,PFN1,2710.427,0.0,99.77358887952822
17004,TPI1,2659.943,0.0,99.76832350463353
3637,CRYAA,2657.105,0.0,99.76042544229149
3638,CRYAA2,2657.105,0.0,99.76042544229149
3640,CRYBA1,2602.821,0.0,99.75252737994946
9247,MBP,2557.557,0.0,99.74726200505476
