Domain,mean,count_domain,domain_abundance_std
Serum_albumin,5947.10225,11,0.0
Casein_kappa,4953.42,1,0.0
ApoC-I,4531.031,1,0.0
Keratin_2_tail,3745.121,1,0.0
ApoA-II,3707.405,3,0.0
Gp_dh_N,3523.1575000000003,2,0.0
Gp_dh_C,3523.1575000000003,2,0.0
Transthyretin,3512.367,1,0.0
Casein,2989.446,1,0.0
Thymosin,2785.3874,5,25.71040256394286
Apo-CII,2716.309,1,0.0
TIM,2659.943,1,0.0
Myelin_MBP,2557.557,1,0.0
Ribosomal_L39,2239.634,2,0.0
PapC_N,2038.675,1,0.0
Lys,1921.2344285714285,7,0.0
Globin,1914.6316666666664,12,0.0
Cpn10,1807.222,1,0.0
Apo-CIII,1754.567,1,0.0
Crystallin,1667.3128000000002,5,0.0
Fibrinogen_aC,1656.092,1,0.0
1-cysPrx_C,1595.1209999999999,5,0.0
Glycolytic,1482.051333333333,3,0.0
Keratin_matx,1384.6799999999998,4,0.0
Calponin,1329.5065,12,0.0
PK,1286.8005,2,0.0
HSP90,1199.8745000000001,5,0.0
Enolase_C,1193.1085,4,0.0
Enolase_N,1193.1085,5,0.0
Ribosomal_S27,1179.835,1,160.01543615539092
Ribosomal_L40e,1179.835,1,160.01543615539092
14-3-3,1161.1574285714285,7,0.0
NPM1-C,1160.196,1,0.0
Filament_head,1159.9995,6,0.0
Transferrin,1158.327,6,0.0
ROKNT,1141.496,1,0.0
VitD-bind_III,1113.113,1,0.0
Sod_Cu,1077.865,3,0.0
Crystall,1070.7073,42,3.243498805302692
Prothymosin,1047.056,2,0.0
Fib_alpha,1043.7538,5,0.0
AhpC-TSA,1036.054875,10,0.0
Mucin-like,1019.813,3,0.0
PGK,1011.5055,2,0.0
HSP20,1001.6602727272729,11,0.0
Ribosomal_L29e,1001.361,1,0.0
GTP_EFTU_D3,973.6315,8,0.0
Rad10,968.319,1,0.0
Myelin_PLP,938.0466666666666,3,0.0
Sod_Fe_N,923.542,1,0.0
Sod_Fe_C,923.542,1,0.0
Annexin,923.289357142857,60,0.0
Ribosomal_L29,921.513,1,0.0
Apolipoprotein,905.639,9,0.0
Tropomyosin,896.3955,9,663.7578522025183
PK_C,867.8753333333334,3,0.0
BASP1,866.574,1,0.0
Ribosomal_S3_C,857.422,1,0.0
Ribosomal_L37ae,852.597,1,0.0
