Domain,mean,domain_abundance_std,count_domain,percentile_rank
Serum_albumin,5947.10225,0.0,11,100.0
Casein_kappa,4953.42,0.0,1,99.9844212494158
ApoC-I,4531.031,0.0,1,99.96884249883159
Keratin_2_tail,3745.121,0.0,1,99.9532637482474
ApoA-II,3707.405,0.0,3,99.93768499766318
Gp_dh_N,3523.1575000000003,0.0,2,99.91431687178688
Gp_dh_C,3523.1575000000003,0.0,2,99.91431687178688
Transthyretin,3512.367,0.0,1,99.89094874591058
Casein,2989.446,0.0,1,99.87536999532638
Thymosin,2785.3874,25.71040256394286,5,99.85979124474217
Apo-CII,2716.309,0.0,1,99.84421249415797
TIM,2659.943,0.0,1,99.82863374357377
Myelin_MBP,2557.557,0.0,1,99.81305499298956
Ribosomal_L39,2239.634,0.0,2,99.79747624240535
PapC_N,2038.675,0.0,1,99.78189749182116
Lys,1921.2344285714285,0.0,7,99.76631874123694
Globin,1914.6316666666664,0.0,12,99.75073999065275
Cpn10,1807.222,0.0,1,99.73516124006855
Apo-CIII,1754.567,0.0,1,99.71958248948435
Crystallin,1667.3128000000002,0.0,5,99.70400373890014
Fibrinogen_aC,1656.092,0.0,1,99.68842498831594
1-cysPrx_C,1595.1209999999999,0.0,5,99.67284623773173
Glycolytic,1482.051333333333,0.0,3,99.65726748714752
Keratin_matx,1384.6799999999998,0.0,4,99.64168873656332
Calponin,1329.5065,0.0,12,99.62610998597913
PK,1286.8005,0.0,2,99.61053123539492
HSP90,1199.8745000000001,0.0,5,99.59495248481072
Enolase_C,1193.1085,0.0,4,99.57158435893442
Enolase_N,1193.1085,0.0,5,99.57158435893442
Ribosomal_S27,1179.835,160.01543615539092,1,99.54042685776601
Ribosomal_L40e,1179.835,160.01543615539092,1,99.54042685776601
14-3-3,1161.1574285714285,0.0,7,99.5170587318897
NPM1-C,1160.196,0.0,1,99.5014799813055
Filament_head,1159.9995,0.0,6,99.4859012307213
Transferrin,1158.327,0.0,6,99.4703224801371
ROKNT,1141.496,0.0,1,99.45474372955289
VitD-bind_III,1113.113,0.0,1,99.43916497896869
Sod_Cu,1077.865,0.0,3,99.42358622838448
Crystall,1070.7073,3.243498805302692,42,99.40800747780028
Prothymosin,1047.056,0.0,2,99.39242872721607
Fib_alpha,1043.7538,0.0,5,99.37684997663187
AhpC-TSA,1036.054875,0.0,10,99.36127122604768
Mucin-like,1019.813,0.0,3,99.34569247546347
PGK,1011.5055,0.0,2,99.33011372487927
HSP20,1001.6602727272729,0.0,11,99.31453497429507
Ribosomal_L29e,1001.361,0.0,1,99.29895622371086
GTP_EFTU_D3,973.6315,0.0,8,99.28337747312665
Rad10,968.319,0.0,1,99.26779872254245
Myelin_PLP,938.0466666666666,0.0,3,99.25221997195824
Sod_Fe_N,923.542,0.0,1,99.22885184608194
Sod_Fe_C,923.542,0.0,1,99.22885184608194
Annexin,923.289357142857,0.0,60,99.20548372020565
Ribosomal_L29,921.513,0.0,1,99.18990496962144
Apolipoprotein,905.639,0.0,9,99.17432621903724
Tropomyosin,896.3955,663.7578522025183,9,99.15874746845303
PK_C,867.8753333333334,0.0,3,99.14316871786882
BASP1,866.574,0.0,1,99.12758996728462
Ribosomal_S3_C,857.422,0.0,1,99.11201121670042
Ribosomal_L37ae,852.597,0.0,1,99.09643246611621
Ribosomal_S19e,847.91,0.0,1,99.08085371553202
PGI,847.416,0.0,1,99.06527496494782
PLAC8,846.5296666666667,0.0,3,99.0496962143636
Cytochrom_C,843.579,0.0,1,99.03411746377941
TBCA,839.162,0.0,1,99.0185387131952
Ribosomal_S13,828.417,0.0,1,99.002959962611
Ribosomal_L13e,828.201,0.0,1,98.98738121202679
PBP,823.2083333333334,0.0,3,98.97180246144259
Ribosomal_L6e_N,814.402,0.0,1,98.94843433556628
Ribosomal_L6e,814.402,0.0,1,98.94843433556628
Ribosomal_L32e,813.85,0.0,1,98.92506620968999
Ldh_1_N,806.076875,0.0,8,98.90169808381368
Ldh_1_C,806.076875,0.0,8,98.90169808381368
Ribosomal_L5e,805.366,0.0,1,98.87054058264528
Ribosomal_L18_c,805.366,0.0,1,98.87054058264528
Ribosomal_L18A,804.403,0.0,1,98.84717245676897
Ribosomal_L23eN,802.829,0.0,1,98.83159370618476
Troponin-I_N,764.777,0.0,1,98.81601495560056
DUF1013,762.119,0.0,1,98.80043620501637
Ribos_L4_asso_C,761.937,0.0,1,98.78485745443216
TCTP,756.852,0.0,1,98.76927870384795
Profilin,753.345,0.0,4,98.75369995326375
Ribosomal_S7e,739.531,0.0,1,98.73812120267954
ATP-synt_ab_C,735.0305,0.0,2,98.72254245209534
Ribosomal_S17_N,733.007,0.0,1,98.70696370151114
EFP_N,731.3905,0.0,2,98.69138495092693
